iter	RMSE
0	0.9830528054
1	0.9692076234
2	0.9541836937
3	0.9402007075
4	0.9265696423
5	0.9144710286
6	0.9025030787
7	0.890727884
8	0.8796031536
9	0.8691620521
10	0.860103981
11	0.850396738
12	0.8407924079
13	0.832319991
14	0.8240063205
15	0.815568562
16	0.8085443466
17	0.8018029605
18	0.795136592
19	0.7898469834
20	0.7839364035
21	0.7791910167
22	0.7737568711
23	0.7697055936
24	0.7650822207
25	0.7603604264
26	0.7558031571
27	0.7515489095
28	0.7484622443
29	0.7454539177
30	0.7423980963
31	0.7386964133
32	0.7354316785
33	0.7324841352
34	0.7297049344
35	0.7265949124
36	0.7243528
37	0.7216943515
38	0.7193990967
39	0.7170824785
40	0.7148558888
41	0.7131517148
42	0.7114811867
43	0.7094234708
44	0.7076468538
45	0.7058439991
46	0.7040125407
47	0.7019709697
48	0.7000831924
49	0.6985513838
50	0.6973783194
51	0.6958691373
52	0.6942218634
53	0.6932013485
54	0.6920272489
55	0.691171927
56	0.6899904628
57	0.6886667033
58	0.687431298
59	0.6862884973
60	0.6850577979
61	0.6836103927
62	0.681980985
63	0.6809200823
64	0.6800305961
65	0.6791755147
66	0.6781888134
67	0.6771950434
68	0.6761047664
69	0.6751270085
70	0.6742814199
71	0.6733894871
72	0.6726659457
73	0.6717737077
74	0.6708443596
75	0.6695048887
76	0.6689854622
77	0.6677401533
78	0.6668167992
79	0.6660655771
80	0.6653716099
81	0.6648806291
82	0.6638892508
83	0.6631974238
84	0.662288843
85	0.6616826692
86	0.6610821351
87	0.6604766213
88	0.6595401056
89	0.6592669973
90	0.6588392624
91	0.6580480558
92	0.6576471088
93	0.6572566348
94	0.6564753626
95	0.655968367
96	0.655051283
97	0.6545317719
98	0.6540929057
99	0.6535277703
100	0.652973928
101	0.6523432281
102	0.6512133578
103	0.6509072561
104	0.6503106994
105	0.6496717488
106	0.6491697475
107	0.6484158415
108	0.647769678
109	0.6469633045
110	0.6459817194
111	0.6455019264
112	0.6450816133
113	0.64417818
114	0.6436386919
115	0.6429064
116	0.6424244674
117	0.6418796149
118	0.6409789808
119	0.640446513
120	0.6396763385
121	0.6393529906
122	0.6386955878
123	0.6385363496
124	0.637679584
125	0.6375626223
126	0.6369754718
127	0.6363213817
128	0.6355165509
129	0.6350523807
130	0.6342139247
131	0.6332345059
132	0.6326113014
133	0.6320871897
134	0.6314507769
135	0.6306747136
136	0.6304391739
137	0.6297010364
138	0.6289667538
139	0.6284681895
140	0.6279402632
141	0.6272760556
142	0.6269424425
143	0.6267612317
144	0.6266923401
145	0.626086443
146	0.6256430333
147	0.6245204673
148	0.6241014832
149	0.6235793246
150	0.6227901269
151	0.6221421712
152	0.6216895451
153	0.6208878902
154	0.6202947891
155	0.619369977
156	0.6187125098
157	0.6181827882
158	0.6174768562
159	0.6167903755
160	0.6164234037
161	0.6159704874
162	0.6149500735
163	0.6137871654
164	0.6133716394
165	0.6129752747
166	0.6126769518
167	0.611590299
168	0.6110866278
169	0.6105001775
170	0.6098292859
171	0.6091624286
172	0.6085206459
173	0.6080632069
174	0.6072985701
175	0.6064169251
176	0.6063886165
177	0.6058571683
178	0.605548622
179	0.604902131
180	0.6041957165
181	0.6038875975
182	0.6030332717
183	0.6023090625
184	0.6015600815
185	0.6009009988
186	0.6003042947
187	0.599676751
188	0.5990951528
189	0.5984325023
190	0.5980854668
191	0.5976048819
192	0.596958122
193	0.5959970391
194	0.5955621449
195	0.5953137666
196	0.5946834653
197	0.5943528315
198	0.5936421288
199	0.5929881839
200	0.5927237805
201	0.5924236286
202	0.5920655262
203	0.5913139252
204	0.5904201128
205	0.5900744644
206	0.5893751768
207	0.5888846719
208	0.588485632
209	0.5879869354
210	0.5874642226
211	0.5868379932
212	0.5862945731
213	0.5857805267
214	0.5850680268
215	0.5846713213
216	0.5842375301
217	0.5837952164
218	0.5830635175
219	0.5823788274
220	0.5816224799
221	0.5809769598
222	0.5803724804
223	0.5795934414
224	0.5791885327
225	0.5787553576
226	0.5784024626
227	0.5778687772
228	0.5775191315
229	0.5769291225
230	0.5764312271
231	0.5761101563
232	0.5754285777
233	0.5748615221
234	0.5745560737
235	0.5739692989
236	0.5736232545
237	0.5728773123
238	0.5725483874
239	0.5719541468
240	0.5713363325
241	0.5706829131
242	0.5700066133
243	0.5694433396
244	0.5688221647
245	0.5680988315
246	0.5676914835
247	0.5670285166
248	0.5663234802
249	0.5660426273
250	0.5656091541
251	0.5652420814
252	0.564552216
253	0.5641403157
254	0.5637685873
255	0.5632783851
256	0.5631144823
257	0.5625378119
258	0.5620900355
259	0.5616220904
260	0.5607382263
261	0.560386557
262	0.5600184147
263	0.5593180061
264	0.558976584
265	0.5585436599
266	0.5579515334
267	0.5575889901
