iter	Passed	Remaining
0	0	280
1	0	274
2	0	261
3	1	258
4	1	237
5	1	226
6	1	225
7	1	225
8	2	223
9	2	216
10	2	216
11	2	218
12	2	218
13	3	216
14	3	216
15	3	216
16	3	213
17	3	215
18	4	214
19	4	209
20	4	209
21	4	204
22	4	205
23	5	206
24	5	207
25	5	207
26	5	208
27	6	208
28	6	208
29	6	209
30	6	210
31	6	209
32	7	209
33	7	209
34	7	209
35	7	209
36	7	206
37	8	206
38	8	206
39	8	206
40	8	206
41	9	206
42	9	206
43	9	206
44	9	206
45	9	205
46	10	207
47	10	206
48	10	206
49	10	206
50	11	206
51	11	206
52	11	207
53	11	207
54	12	207
55	12	207
56	12	207
57	12	207
58	13	208
59	13	212
60	13	212
61	14	211
62	14	212
63	14	212
64	14	210
65	14	210
66	15	210
67	15	210
68	15	210
69	15	210
70	16	209
71	16	209
72	16	208
73	16	208
74	16	208
75	17	208
76	17	208
77	17	207
78	17	207
79	18	207
80	18	207
81	18	206
82	18	206
83	18	206
84	19	206
85	19	206
86	19	205
87	19	205
88	20	205
89	20	205
90	20	205
91	20	204
92	20	204
93	21	204
94	21	204
95	21	204
96	21	204
97	22	203
98	22	203
99	22	203
100	22	203
101	23	203
102	23	203
103	23	202
104	23	202
105	24	202
106	24	203
107	24	203
108	24	203
109	25	203
110	25	202
111	25	202
112	25	202
113	26	202
114	26	202
115	26	202
116	26	202
117	27	202
118	27	201
119	27	201
120	27	201
121	27	200
122	28	200
123	28	200
124	28	200
125	28	199
126	29	200
127	29	200
128	29	200
129	29	200
130	30	200
131	30	199
132	30	199
133	30	199
134	31	199
135	31	199
136	31	199
137	31	198
138	32	198
139	32	198
140	32	198
141	32	198
142	33	198
143	33	198
144	33	197
145	33	197
146	34	198
147	34	198
148	34	198
149	34	198
150	35	197
151	35	197
152	35	197
153	35	197
154	36	197
155	36	196
156	36	196
157	36	196
158	37	195
159	37	195
160	37	195
161	37	195
162	37	194
163	38	194
164	38	194
165	38	194
166	38	194
167	39	193
168	39	193
169	39	193
170	39	193
171	40	192
172	40	192
173	40	192
174	40	192
175	41	192
176	41	191
177	41	191
178	41	190
179	41	190
180	42	190
181	42	190
182	42	190
183	42	190
184	43	189
185	43	189
186	43	189
187	43	189
188	44	189
189	44	189
190	44	188
191	44	188
192	45	188
193	45	188
194	45	188
195	46	191
196	46	190
197	47	190
198	47	190
199	47	190
200	47	190
201	48	189
202	48	189
203	48	189
204	48	189
205	49	188
206	49	188
207	49	188
208	49	188
209	49	187
210	50	187
211	50	187
212	50	187
213	50	187
214	51	186
215	51	186
216	51	186
217	51	186
218	52	185
219	52	185
220	52	185
221	52	184
222	53	184
223	53	184
224	53	184
225	53	183
226	53	183
227	54	183
228	54	183
229	54	183
230	54	182
231	55	182
232	55	182
233	55	182
234	55	181
235	56	181
236	56	181
237	56	181
238	56	181
239	57	180
240	57	180
241	57	180
242	57	180
243	58	179
244	58	179
245	58	179
246	58	179
247	59	179
248	59	178
249	59	178
250	59	178
251	60	178
252	60	178
253	60	177
254	60	177
255	61	177
256	61	177
257	61	177
258	61	176
259	62	176
260	62	176
261	62	176
262	62	175
263	62	175
264	63	175
265	63	175
266	63	174
267	63	174
268	64	174
269	64	174
270	64	173
271	64	173
272	65	173
273	65	173
274	65	173
275	65	172
276	66	172
277	66	172
278	66	172
279	66	171
280	67	171
281	67	171
282	67	170
283	67	170
284	67	170
285	68	170
286	68	169
287	68	169
288	68	169
289	69	169
290	69	168
291	69	168
292	69	168
293	69	168
294	70	167
295	70	167
296	70	167
297	70	167
298	71	166
299	71	166
300	71	166
301	71	166
302	72	165
303	72	165
304	72	165
305	72	165
306	73	165
307	73	164
308	73	164
309	73	164
310	74	164
311	74	163
312	74	163
313	74	163
314	75	163
315	75	163
316	75	163
317	76	163
318	76	163
319	77	164
320	77	164
321	77	163
322	78	163
323	78	163
324	78	163
325	78	162
326	79	162
327	79	162
328	79	162
329	79	161
330	79	161
331	80	161
332	80	161
333	80	160
334	80	160
335	81	160
336	81	160
337	81	160
338	81	159
339	82	159
340	82	159
341	82	159
342	82	158
343	83	158
344	83	158
345	83	158
346	83	157
347	84	157
348	84	157
349	84	157
350	84	156
351	85	156
352	85	156
353	85	156
354	85	156
355	86	155
356	86	155
357	86	155
358	86	154
359	86	154
360	87	154
361	87	154
362	87	153
363	88	153
364	88	153
365	88	153
366	88	153
367	89	152
368	89	152
369	89	152
370	89	152
371	89	151
372	90	151
373	90	151
374	90	151
375	90	150
376	91	150
377	91	150
378	91	150
379	92	150
380	92	149
381	92	149
382	92	149
383	93	149
384	93	148
385	93	148
386	93	148
387	93	148
388	94	148
389	94	147
390	94	147
391	94	147
392	95	147
393	95	146
394	95	146
395	95	146
396	96	146
397	96	145
398	96	145
399	96	145
400	97	145
401	97	144
402	97	144
403	97	144
404	98	144
405	98	143
406	98	143
407	98	143
408	99	143
409	99	143
410	99	142
411	99	142
412	100	142
413	100	142
414	100	141
415	100	141
416	101	141
417	101	141
418	101	141
419	102	141
420	102	140
421	102	140
422	102	140
423	103	140
424	103	139
425	103	139
426	103	139
427	104	139
428	104	138
429	104	138
430	104	138
431	105	138
432	105	137
433	105	137
434	105	137
435	106	137
436	106	136
437	106	136
438	106	136
439	107	136
440	107	135
441	107	135
442	107	135
443	108	135
444	108	135
445	108	134
446	108	134
447	109	134
448	109	134
449	109	133
450	109	133
451	109	133
452	110	133
453	110	132
454	110	132
455	110	132
456	111	132
457	111	131
458	111	131
459	111	131
460	112	131
461	112	130
462	112	130
463	112	130
464	112	130
465	113	129
466	113	129
467	113	129
468	113	129
469	114	128
470	114	128
471	114	128
472	114	128
473	115	127
474	115	127
475	115	127
476	115	127
477	116	126
478	116	126
479	116	126
480	116	126
481	117	125
482	117	125
483	117	125
484	117	124
485	117	124
486	118	124
487	118	124
488	118	123
489	118	123
490	119	123
491	119	123
492	119	122
493	119	122
494	120	122
495	120	122
496	120	122
497	120	121
498	121	121
499	121	121
500	121	121
501	121	120
502	121	120
503	122	120
504	122	120
505	122	120
506	123	119
507	123	119
508	123	119
509	123	119
510	124	118
511	124	118
512	124	118
513	124	118
514	125	117
515	125	117
516	125	117
517	125	117
518	126	116
519	126	116
520	126	116
521	126	116
522	127	116
523	127	115
524	127	115
525	127	115
526	128	114
527	128	114
528	128	114
529	128	114
530	129	114
531	129	113
532	129	113
533	129	113
534	130	113
535	130	112
536	130	112
537	130	112
538	131	112
539	131	111
540	131	111
541	131	111
542	131	111
543	132	110
544	132	110
545	132	110
546	132	109
547	133	109
548	133	109
549	133	109
550	133	108
551	133	108
552	134	108
553	134	108
554	134	107
555	134	107
556	135	107
557	135	107
558	135	107
559	135	106
560	136	106
561	136	106
562	136	105
563	136	105
564	137	105
565	137	105
566	137	105
567	137	104
568	138	104
569	138	104
570	138	104
571	139	104
572	139	103
573	139	103
574	139	103
575	140	103
576	140	102
577	140	102
578	140	102
579	141	102
580	141	102
581	141	101
582	141	101
583	142	101
584	142	101
585	142	100
586	142	100
587	143	100
588	143	100
589	143	99
590	143	99
591	144	99
592	144	99
593	144	98
594	144	98
595	145	98
596	145	98
597	145	97
598	145	97
599	146	97
600	146	97
601	146	96
602	146	96
603	146	96
604	147	96
605	147	95
606	147	95
607	148	95
608	149	95
609	149	95
610	149	95
611	149	94
612	149	94
613	150	94
614	150	94
615	150	93
616	150	93
617	151	93
618	151	93
619	151	92
620	151	92
621	152	92
622	152	92
623	152	91
624	152	91
625	153	91
626	153	91
627	153	91
628	154	90
629	154	90
630	155	90
631	156	90
632	156	90
633	156	90
634	156	90
635	157	89
636	157	89
637	157	89
638	157	89
639	157	88
640	158	88
641	158	88
642	158	88
643	158	87
644	159	87
645	159	87
646	159	87
647	159	86
648	160	86
649	160	86
650	160	86
651	160	85
652	161	85
653	161	85
654	161	85
655	161	84
656	162	84
657	162	84
658	162	84
659	162	83
660	163	83
661	163	83
662	163	83
663	163	82
664	164	82
665	164	82
666	164	82
667	164	81
668	165	81
669	165	81
670	165	81
671	165	80
672	166	80
673	166	80
674	166	80
675	166	79
676	167	79
677	167	79
678	167	79
679	167	78
680	167	78
681	168	78
682	168	78
683	168	77
684	168	77
685	169	77
686	169	77
687	169	76
688	169	76
689	170	76
690	170	76
691	171	76
692	171	75
693	171	75
694	172	75
695	172	75
696	172	75
697	173	74
698	173	74
699	173	74
700	173	74
701	173	73
702	174	73
703	174	73
704	174	73
705	174	72
706	175	72
707	175	72
708	175	72
709	175	71
710	176	71
711	176	71
712	176	71
713	176	70
714	177	70
715	177	70
716	177	70
717	177	69
718	177	69
719	178	69
720	178	69
721	178	68
722	178	68
723	179	68
724	179	68
725	179	67
726	179	67
727	180	67
728	180	67
729	180	66
730	180	66
731	181	66
732	181	66
733	181	65
734	181	65
735	182	65
736	182	65
737	182	64
738	182	64
739	183	64
740	183	64
741	183	63
742	183	63
743	184	63
744	184	63
745	184	62
746	184	62
747	185	62
748	185	62
749	185	61
750	185	61
751	185	61
752	186	61
753	186	60
754	186	60
755	187	60
756	187	60
757	187	59
758	187	59
759	187	59
760	188	59
761	188	58
762	188	58
763	188	58
764	189	58
765	189	57
766	189	57
767	189	57
768	190	57
769	190	56
770	190	56
771	190	56
772	191	56
773	191	55
774	191	55
775	191	55
776	192	55
777	192	54
778	192	54
779	192	54
780	193	54
781	193	53
782	193	53
783	193	53
784	194	53
785	194	52
786	194	52
787	194	52
788	195	52
789	195	51
790	195	51
791	195	51
792	196	51
793	196	50
794	196	50
795	196	50
796	197	50
797	197	49
798	197	49
799	197	49
800	198	49
801	198	48
802	198	48
803	198	48
804	198	48
805	199	47
806	199	47
807	199	47
808	199	47
809	200	46
810	200	46
811	200	46
812	200	46
813	201	45
814	201	45
815	201	45
816	201	45
817	202	44
818	202	44
819	202	44
820	203	44
821	203	44
822	203	43
823	203	43
824	204	43
825	204	43
826	205	42
827	206	42
828	206	42
829	206	42
830	206	42
831	207	41
832	207	41
833	207	41
834	207	41
835	208	40
836	208	40
837	208	40
838	208	40
839	209	39
840	209	39
841	209	39
842	209	39
843	210	38
844	210	38
845	210	38
846	210	38
847	211	37
848	211	37
849	212	37
850	212	37
851	212	36
852	213	36
853	213	36
854	213	36
855	213	35
856	214	35
857	214	35
858	214	35
859	214	34
860	215	34
861	215	34
862	215	34
863	215	33
864	216	33
865	216	33
866	216	33
867	216	32
868	217	32
869	217	32
870	217	32
871	217	31
872	218	31
873	218	31
874	218	31
875	218	30
876	219	30
877	219	30
878	219	30
879	219	29
880	220	29
881	220	29
882	220	29
883	220	28
884	221	28
885	221	28
886	221	28
887	221	27
888	222	27
889	222	27
890	222	27
891	222	26
892	223	26
893	223	26
894	223	26
895	223	25
896	224	25
897	224	25
898	224	25
899	224	24
900	225	24
901	225	24
902	225	24
903	225	23
904	225	23
905	226	23
906	226	23
907	226	22
908	226	22
909	227	22
910	227	22
911	227	21
912	227	21
913	228	21
914	228	21
915	228	20
916	228	20
917	229	20
918	229	20
919	229	19
920	229	19
921	230	19
922	230	19
923	230	18
924	230	18
925	231	18
926	231	18
927	231	17
928	231	17
929	232	17
930	232	17
931	232	16
932	232	16
933	233	16
934	233	16
935	233	15
936	234	15
937	234	15
938	234	15
939	234	14
940	235	14
941	235	14
942	235	14
943	236	14
944	236	13
945	236	13
946	236	13
947	237	13
948	237	12
949	237	12
950	237	12
951	238	12
952	238	11
953	238	11
954	238	11
955	238	10
956	239	10
957	239	10
958	239	10
959	239	9
960	240	9
961	240	9
962	240	9
963	240	8
964	241	8
965	241	8
966	241	8
967	241	7
968	242	7
969	242	7
970	242	7
971	242	6
972	243	6
973	243	6
974	243	6
975	243	5
976	244	5
977	244	5
978	244	5
979	244	4
980	245	4
981	245	4
982	245	4
983	245	3
984	245	3
985	246	3
986	246	3
987	246	2
988	246	2
989	247	2
990	247	2
991	247	1
992	248	1
993	248	1
994	248	1
995	248	0
996	249	0
997	249	0
998	249	0
999	249	0
